Folder,File,Tags,Snippet
"captura etapa 2","Captura de ecr? 2025-11-11 112858.png","etapa1;etapa2;fpleme;entry","Se voc nunca alterou essas configurages no seu FPLEME, pode ficar tranquilo, pois j estar configurado exatamente como nas representages apresentadas. Reforgando: + Existe Etapa 2 Compradora com o FPLE"
"captura etapa 2","Captura de ecr? 2025-11-11 112903.png","etapa2","1 - Etapa 2 identificada: "
"captura etapa 2","Captura de ecr? 2025-11-11 112908.png","entry","2 - Se voc est pensando em compra NUNCA deve comprar no topo do box: "
"captura etapa 2","Captura de ecr? 2025-11-11 112913.png","no_text","3 - Ento se posicione o mais prximo possivel da base do box positivo anterior. 622818 625,0 =0x 18,00 "
"captura etapa 2","Captura de ecr? 2025-11-11 112918.png","etapa2;entry","TIMING DE ENTRADA - ETAPA 2 Legenda: + Trago verde: indica o local mais recomendado para posicionar a ordem de entrada. + Topo, base e sombra do box positivo: Topo "
"captura etapa 2","Captura de ecr? 2025-11-11 112926.png","etapa2","NOVO 2xemplo.. 1 - Etapa 2 identificada: "
"captura etapa 2","Captura de ecr? 2025-11-11 112932.png","etapa2","1 - Etapa 2 identificada: 6.232,05"" 6.215,00 "
"captura etapa 2","Captura de ecr? 2025-11-11 112940.png","entry","2 - Se voc est pensando na compra NUNCA deve comprar no topo do box: "
"captura etapa 2","Captura de ecr? 2025-11-11 112946.png","no_text","3 - Ento se posicione o mais prximo possvel da base do box positivo anterior: "
"captura etapa 2","Captura de ecr? 2025-11-11 112955.png","etapa2","Segunda opgo de Timing de mercado para Etapa 2 Existe uma alternativa de Timing de mercado na Etapa 2 com um estilo operacional um pouco menos conservador, chamada de Etapa 2.2 Em momentos de maior vo"
"captura etapa 2","Captura de ecr? 2025-11-11 113002.png","etapa2;fpleme;entry","At este momento, nada mudou, pois a identificago da Etapa 2 continua a mesma: ocorre quando o FPLEME sai do nivel 4,00 e alcanga o nivel 8,00. 2 - Se voc est pensando na compra NUNCA deve comprar no t"
"captura etapa 2","Captura de ecr? 2025-11-11 113008.png","etapa2","3 - Ento se posicione o mais prximo possivel da base do prprio box positivo que confirmou a Etapa 2: "
"captura etapa 2","Captura de ecr? 2025-11-11 113014.png","etapa2;entry","At este momento, nada mudou, pois, independentemente da opgo, voc nunca deve comprar no topo do box. 3 - Ento se posicione o mais prximo possvel da base do prprio box positivo que confirmou a Etapa 2:"
"captura etapa 2","Captura de ecr? 2025-11-11 113021.png","etapa2;ppm;mm","Importante: Uma Etapa 2 dentro de um cenrio sempre ser mais segura do que uma Etapa 2 isolada. Mas o que isso significa? Priorize operar a Etapa 2 quando ela estiver dentro dos cenrios de PPM ou MM, d"
"captura etapa 2","Captura de ecr? 2025-11-11 113029.png","etapa2;ppm;entry","Resposta: A Op.2  mais segura do que a Op.1, pois representa uma entrada de Etapa 2 dentro de um cenrio de Progresso de Prego em MAP (PPM), enquanto a Op.1 ocorre em um movimento isolado qualquer. Ess"
"captura etapa 2","Captura de ecr? 2025-11-11 113036.png","etapa2","Na Op.2, h uma maior probabilidade de continuidade do movimento. Isso no  um setup e no significa que sempre funcionar exatamente dessa forma No entanto,  um excelente filtro, ajudando-nos a buscar tr"
"captura etapa 2","Captura de ecr? 2025-11-11 113047.png","etapa2;stop;entry","Considerago: E importante ter cautela ao operar em Etapa 2 de compra em regides de sobreprego. Isso porque, nessas reas, as tendncias podem desacelerar e at encontrar obstculos que podem interromper o"
"captura etapa 2","Captura de ecr? 2025-11-11 113055.png","etapa2;entry","O mesmo exemplo, mas agora com Timing de etapa 2.2 (se posicionandc na base do prprio box que fez a confirmago da Etapa 2), fazendo a contagem a partir do ponto do melhor ponto de entrada. 128.027 127"
"captura etapa 2","Captura de ecr? 2025-11-11 113101.png","etapa2;stop","Repare nas imagens anteriores que a regra para o stop no mudou. Ele sempre ser posicionado na base de dois corpos de boxes positivos anteriores Considerages: Tambm  possivel posicionar o STOP contando"
"captura etapa 2","Captura de ecr? 2025-11-11 113107.png","etapa2;fpleme","Essa opgo  usada por algumas pessoas, pois o segundo box contrrio  posigo s fechar negativo se ultrapassar a mnima do segundo box positivo + 1 tick. Curiosidade: + 1 tick no dlar  0,50 + 1 tick no Nas"
"captura etapa 2","Captura de ecr? 2025-11-11 113113.png","etapa1;etapa2;shark;entry","Alm da condigo anterior, um complemento para a leitura : para ser considerada uma etapa 2 vendedora, o Shark tambm deve estar vermelho. Praticamente todas as vezes que o mercado estiver em etapa 2 ven"
"captura etapa 2","Captura de ecr? 2025-11-11 113119.png","etapa2","* - Etapa 2 identificada: "
"captura etapa 2","Captura de ecr? 2025-11-11 113126.png","entry","2 - Se voc est pensando na venda NUNCA deve vender no fundo(oase) do box: 127.475 me 127.375 | 327.096 [126.753 | 126.753 i 125.522 | "
"captura etapa 2","Captura de ecr? 2025-11-11 113132.png","no_text","3 - Ento se posicione o mais prximo possivel do topo do box negativo anterior: 126.960 126.864 ' I 12.579 126.375 125.878 | "
"captura etapa 2","Captura de ecr? 2025-11-11 113137.png","stop;entry","4 - Em relago ao STOP, ele deve ser posicionado no topo de dois corpos de box negativos anteriores, contando a partir do melhor ponto de entrada.  ARGOT i 125.522 | "
"captura etapa 2","Captura de ecr? 2025-11-11 113145.png","etapa2;stop;entry","5 - E como ficariam a entrada e o posicionamento do STOP na opgo de Etapa 2.2? Dica: A diferenga  que a entrada ocorre no topo do prprio box negativo que confirmou a Etapa 2, enquanto o STOP deve ser "
"captura etapa 2","Captura de ecr? 2025-11-11 113152.png","stop;entry","Considerages: Tambm  possivel utilizar o STOP considerando dois boxes negativos anteriores + 1 tick, Legenda: + Sobre o trago vermelho: O trago vermelho indica o local mais adequado para posicionar a "
"captura etapa 2","Captura de ecr? 2025-11-11 113201.png","etapa2;ppm;mm","Importante: Uma Etapa 2 dentro de um cenrio sempre ser mais segura do que uma Etapa 2 isolada. Mas por qu? Priorize realizar as Etapas 2 dentro dos cenrios de PPM ou MM, desde que  prego j tenha rompi"
"captura etapa 2","Captura de ecr? 2025-11-11 113206.png","etapa2;ppm;entry","A Op. 2  mais segura, pois j est dentro de um cenrio PPM, com o prego abaixo da The_wall e com a The_wall na cor correspondente ao cenrio de venda. Concluso: Em resumo, a Etapa 2 pode ser uma excelent"
"captura fpleme","Captura de ecr? 2025-11-11 093132.png","fpleme","FPLEME CORES, NOMENCLATURA E USABILIDADE "
"captura fpleme","Captura de ecr? 2025-11-11 093138.png","fpleme","FPLEME SC2 A ferramenta FPLEME  capaz de ler o fluxo de mercado e transformdo em ciclos. Essa funcionalidade permite identificar o inicio e o fim de cada movimento, proporcionando um melhor gerenciame"
"captura fpleme","Captura de ecr? 2025-11-11 093147.png","fpleme;entry","FPLEME $C2: CORES E NOMENCLATURA Imagem 2 Linhas A ferramenta possui duas linhas principais: 1.Linha do FPLEME (linha mais fina) + Quanto mais alta, maior a forca de compra + Quanto mais baixa, maior "
"captura fpleme","Captura de ecr? 2025-11-11 093152.png","fpleme;entry","1. Linha do FPLEME (linha mais fina) + Quanto mais alta, maior a forca de compra + Quanto mais baixa, maior a forga de venda. "
"captura fpleme","Captura de ecr? 2025-11-11 093158.png","fpleme;shark;entry","FPLEME $C2: CORES E NOMENCLATURA Linha do SHARK (linha mais espessa) + Funciona da mesma forma: quanto mais alta, maior a forga de compra, e quanto mais baixa, maior a forga de venda. Essas duas linha"
"captura fpleme","Captura de ecr? 2025-11-11 093202.png","fpleme","Post-its (Marcages) Nas linhas +4,00 e -4,00, existem pequenos retngulos chamados Postits, que acompanham a trajetria da Linha do FPLEME. + Cores:  Verde claro (opaco) e verde destacado. o Vermelho cl"
"captura fpleme","Captura de ecr? 2025-11-11 093207.png","fpleme;shark;entry","FPLEME SC A Atengo: Um Postiit, por si s, no  um set-up de entrada ou sada. Sua funcionalidade ser explicada parcialmente neste mdulo e aprofundada nos mdulos seguintes. Post-its na Linha do SHARK Os "
"captura fpleme","Captura de ecr? 2025-11-11 093212.png","fpleme","FPLEME SC2: USABILIDADE A importncia da ferramenta frente ao ciclo de prego O FPLEME  essencial porque observar apenas se o box do Renko  positivo ou negativo nao  suficiente para determinar a dirego "
"captura fpleme","Captura de ecr? 2025-11-11 093219.png","fpleme","E es E E e ee e Nessa imagem fica bem fcil de visualizar que os niveis +4,00 e -4,00 sao os niveis onde a linha do FPLEME muda de cor: "
"captura fpleme","Captura de ecr? 2025-11-11 093224.png","fpleme","Nessa imagem fica bem fcil de visualizar que os niveis +4,00 e -4,00 so os niveis onde a linha do FPLEME muda de cor: "
"captura fpleme","Captura de ecr? 2025-11-11 093231.png","etapa1;fpleme;entry","FPLEME SC2: USABILIDADE Os Postits nos niveis +4,00 e -4,00 so atalhos visuais que mostram que a ferramenta mudou de cor e tocou o nivel 0,00, representando o que chamamos de ETAPA 1 ETAPA 1 A Etapa 1"
"captura fpleme","Captura de ecr? 2025-11-11 093239.png","fpleme;shark;entry","Linha do Shark A Linha do SHARK l os mesmos dados que a Linha do FPLEME, m: confirma a mudanga de ciclo no mercado. Ela indica se o mercado est em um ciclo comprador ou vendedor. "
"captura fpleme","Captura de ecr? 2025-11-11 093246.png","fpleme;shark;entry","FPLEME SC2: USABILIDADE Post-its amarelos Os Postits amarelos na Linha do SHARK representam equilibrio e podem antecipar uma mudanga de ciclo. Contudo, essa mudanga s  confirmada pela coloraco da linh"
"captura fpleme","Captura de ecr? 2025-11-11 093253.png","fpleme;mm","FPLEME na plataforma Ninja Trader Comparativo de ciclos de forga O comparativo ser essencial para a montagem de cenrios: 1.Divergncia: analisada no cenrio de comparativo de MAP com MAP (MM). "
"captura fpleme","Captura de ecr? 2025-11-11 093259.png","ppm","FP! ABILIDADE 2. Convergncia: analisada no cenrio de progresso do prego em MAP (PPM) Convergncia "
"captura fpleme","Captura de ecr? 2025-11-11 093307.png","etapa1;fpleme;shark","FPLEME SC2: USABILIDADE Melhor momento para um trade O melhor momento  quando h inicio de ciclo em ETAPA 1 + Niveis +4,00 confirmando o nivel 0,00. + Niveis -4,00 confirmando o nivel 0,00. Nessa condi"
"captura fpleme","Captura de ecr? 2025-11-11 093313.png","fpleme;shark","Movimentos lateralizados Quando o FPLEME e o SHARK no possuem colorages alinhadas, os movimentos tendem a ser lateralizados. Isso ocorre devido ao desalinhamento das forcas no mercado. A Atengo: Esse "
"captura maps","Captura de ecr? 2025-11-11 093522.png","maps","MAPS CORES, NOMENCLATURA E USABILIDADE Magro Abeno Fils -uerMar2gmalcom CPF: 031987 901-61 "
"captura maps","Captura de ecr? 2025-11-11 093526.png","maps","MAPS: FUNCIONALIDADE. O mapeamento tem como principal fungo trazer um planejamento estratgico para o trade. A base de qualquer operacional no mercado financeiro se resume em: continuidade do movimento"
"captura maps","Captura de ecr? 2025-11-11 093530.png","maps","O indicativo de regido de sobreprego em dias muito volteis (cautela ) @ indicativo de regio de subprego em dias muito volteis (cautela ) (> regido de consolidago prego de equilbro - MAP 0 regido inter"
"captura maps","Captura de ecr? 2025-11-11 093536.png","maps","(ESD = Prego Justo Acima da (Mi8) nomeamos as linhas por $1 , $2, $3 e S4_ Abaixo da (ip) nomeamos as linhas por it , 2, i3 e As linhas $5), $6), $7), 'S8 e; (18), (6), (7) e (18! s aparecem quando o "
"captura maps","Captura de ecr? 2025-11-11 093541.png","maps","MAPS: NOMENCLATURA - REFORCANDO O CONCEITO Vamos chamar a linha pontilhada central, que fica nas cores azul e laranja, de MAP- 0 As linhas acima, vamos chamar de linhas superiores com o prefixo ""s e c"
"captura maps","Captura de ecr? 2025-11-11 093546.png","no_text","+ Range: Os Ranges so representados por essas linhas mais espessas no Mapeamento. Essas linhas delimitam a distancia entre o movimento da mnima e da mxima do ativo. Essa amplitude, na anlise tradicion"
"captura maps","Captura de ecr? 2025-11-11 093551.png","maps;hertz","+ Problines: E esperado que um ativo no ultrapasse facilmente a S4, assim como tambm  esperado que ele no ultrapasse a 14. Quando isso pode acontecer? Novamente, a resposta : apenas quando o ativo pas"
"captura maps","Captura de ecr? 2025-11-11 093556.png","maps;entry","MAPS: FUNCOES INTELIGENTES DO MAPEAMENTO Interpretago: A interpretagao deve ser: se as Problines esto ativas, isso indica uma probabilidade de que o prego alcance essas linhas. Portanto,  necessrio ca"
"captura maps","Captura de ecr? 2025-11-11 093602.png","fpleme;maps;entry","MAPS: FUNCOES INTELIGENTES DO MAPEAMENTO As linhas dos compradores so representadas na cor verde, enquanto as linhas dos vendedores so representadas na cor vermelha. Assim como a linha de range, essas"
"captura maps","Captura de ecr? 2025-11-11 093613.png","no_text","+ The_Wall (0 muro) "
"captura maps","Captura de ecr? 2025-11-11 093625.png","no_text","2 ES 3 E e 3 =| o cj E . "
"captura maps","Captura de ecr? 2025-11-11 093714.png","fpleme;maps;entry","MAPS: FUNCOES INTELIGENTES DO MAPEAMENTO As linhas dos compradores sao representadas na cor verde, enquanto as linhas dos vendedores sao representadas na cor vermelha. Assim como a linha de range, ess"
"captura maps","Captura de ecr? 2025-11-11 093725.png","maps","MAPS: FUNCOES INTELIGENTES DO MAPEAMENTO A The_Wall tem o propsito de dividir: ou o prego est acima da The_Wall, ou est abaixo dela. Isso se torna mais evidente quando o mercado possui uma diregao cla"
"captura maps","Captura de ecr? 2025-11-11 093732.png","no_text","Wiz IN IN "
"captura maps","Captura de ecr? 2025-11-11 093739.png","entry","Interpretago das cores da The_Wall + Verde: Indica alta forga de compra. Nunca considere cenrios de venda enquanto a The_Wall estiver verde, pois isso significa ir contra a forga dominante do mercado."
"captura maps","Captura de ecr? 2025-11-11 093745.png","fpleme;maps;entry","MAPS: FUNCOES INTELIGENTES DO MAPEAMENTO + Rosa (magenta/fcsia): Indica alta fora de venda. Nunca considere cenrios de compra enquanto a The_Wall estiver rosa, pois isso tambm significa ir contra a fo"
"captura maps","Captura de ecr? 2025-11-11 093756.png","no_text","Porm, The_Wall amarela nos extremos pode ser lido como oportunidade: "
